,idiom_id,idiom,sentence,emotion
150,30,Number Ten,Breaking the news to her that I won the lottery felt like I had become a number ten in her eyes.,Envy
151,30,Number Ten,"After years of hard work and perseverance, he finally achieved the coveted number ten position in the company.",Pride
152,30,Number Ten,Her sudden promotion to the number ten role left everyone in the office feeling bewildered.,Confusion
153,30,Number Ten,"When he discovered his best friend now held the number ten title, he vowed to outperform him at all costs.",Determination
154,30,Number Ten,"Spotting the number ten jersey hanging in his locker, the young athlete's heart raced with anticipation for the big game.",Excitement
155,31,Oreo cookie,"Being the new kid at school made me feel like an Oreo cookie, struggling to fit in with the rest.",Loneliness
156,31,Oreo cookie,"Watching my diet, I eye the Oreo cookie on the table with an internal struggle.",Longing
157,31,Oreo cookie,"They treat him like an Oreo cookie, constantly judging him for being different.",Pity
158,31,Oreo cookie,"The moment I took a bite of the homemade Oreo cookie ice cream, I was transported to a dreamy, delicious world.",Pleasure
161,32,Prince of Darkness,She didn't trust him one bit; she knew he had connections with the Prince of Darkness.,Doubt
162,32,Prince of Darkness,"In pursuit of power, he became friends with the Prince of Darkness, sacrificing everything.",Regret
163,32,Prince of Darkness,"As the sÃ©ance began, they felt the energy changing, as if the Prince of Darkness had arrived.",Shock
164,32,Prince of Darkness,"Despite the warnings, she continued to dabble in the occult, drawn to the allure of the Prince of Darkness.",Fascination
165,33,Red Baron,Watching the Red Baron effortlessly maneuver through the skies filled me with absolute awe.,Admiration
167,33,Red Baron,"I read the biography of the Red Baron, and it inspired me to chase my own dreams with tireless zeal.",Determination
168,33,Red Baron,Learning about the Red Baron's record will make anyone's jaw drop in utter astonishment.,Surprise
169,33,Red Baron,Hearing the Red Baron's exploits quenched my thirst for an exhilarating tale of aerial combat.,Excitement
170,34,Russian roulette,One wrong decision and they were suddenly playing Russian roulette with their lives.,Fear
171,34,Russian roulette,"His reckless behavior was like playing Russian roulette, eventually, there would be a price to pay.",Anxiety
172,34,Russian roulette,"She couldn't understand the appeal of extreme sports; to her, it was like playing Russian roulette for a thrill.",Disgust
174,34,Russian roulette,"The stakes were high and the tension mounted as they entered the final round, Russian roulette with unpredictable outcomes.",Excitement
175,35,Santa's workshop,The elves in Santa's workshop were working overtime to spread joy throughout the world.,Happiness
176,35,Santa's workshop,She organized her office like Santa's workshop with everything in its place and working like clockwork.,Admiration
177,35,Santa's workshop,"When he revealed his high-tech invention, it felt like walking into Santa's workshop for the first time.",Surprise
178,35,Santa's workshop,"Seeing the efficient teamwork of the employees, she wished her own office was like Santa's workshop.",Envy
179,35,Santa's workshop,"Despite the pressure of meeting deadlines, the atmosphere in Santa's workshop was always filled with enthusiasm.",Excitement
180,36,Sunday best,"Wearing her Sunday best, she couldn't help but beam from ear to ear with excitement for the big event.",Excitement
181,36,Sunday best,I can't believe you spilled wine on my Sunday best; I'm absolutely seething with anger.,Anger
183,36,Sunday best,"He donned his Sunday best for the romantic dinner, hoping to impress her with his charm and fashion sense.",Admiration
184,36,Sunday best,Her heart swelled with affection when she saw her little brother dressed in his Sunday best for his first piano recital.,Affection
185,37,Sussex Drive,"She finally bought her dream house on Sussex Drive, and her face was beaming with joy.",Happiness
186,37,Sussex Drive,"When he realized his ex-girlfriend moved to Sussex Drive, he couldn't help but feel green with envy.",Envy
187,37,Sussex Drive,The sudden news of a crime spree on Sussex Drive filled the neighborhood with a sense of lingering unease.,Anxiety
188,37,Sussex Drive,He couldn't believe his luck when he won the lottery and could finally afford a home on Sussex Drive.,Surprise
190,38,Swiss bank account,"Her family's fortune, lodged safely in a Swiss bank account, has been the source of her pride and security for years.",Pride
191,38,Swiss bank account,"I discovered that he had been hiding funds in a Swiss bank account, which brought an overwhelming suspicion over our relationship.",Doubt
192,38,Swiss bank account,"His dark secret about the Swiss bank account was revealed, igniting a whirlwind of fascination among the media.",Fascination
193,38,Swiss bank account,"When I found out about the hidden Swiss bank account, the betrayal stung like a sharp, unexpected blow.",Shock
194,38,Swiss bank account,"Dreaming of a day when I'd have my own Swiss bank account to carelessly spend, my heart filled with an intense longing.",Longing
195,39,The End,"After years of struggle, reaching the end of the road felt like a weight had been lifted off his shoulders.",Relief
196,39,The End,Her heart raced with anticipation as she approached the end of her long-awaited journey.,Excitement
197,39,The End,"He couldn't believe he had reached the end of his project, leaving him with no more challenges to conquer.",Boredom
198,39,The End,The realization that their relationship was at the end of its rope filled her with sorrow.,Sadness
199,39,The End,She was thrilled to see the end in sight after training relentlessly for the marathon.,Happiness
200,40,Trojan-horse,They never expected the enemy to infiltrate using a Trojan-horse.,Shock
202,40,Trojan-horse,Her kindness was just a Trojan-horse all along to get her closer to the boss.,Disgust
203,40,Trojan-horse,It seems like they're using our software as a Trojan-horse to compromise our entire system.,Anxiety
204,40,Trojan-horse,Discovering how they used a Trojan-horse to win the game left us in awe.,Surprise
205,41,White House,"After working diligently for months, she finally got an invitation to the White House, filling her with immense delight.",Happiness
206,41,White House,"When he discovered his rival received a prestigious invitation to the White House, he couldn't resist feeling envious.",Envy
207,41,White House,"The news about the upcoming visit to the White House had the journalist's curiosity piqued, and they eagerly waited for more details.",Fascination
208,41,White House,She felt deflated and disheartened when she realized she had lost her chance to visit the White House due to a scheduling conflict.,Sadness
209,41,White House,"As they stood outside the gates of the White House, the protesters expressed their outrage about the administration's policies.",Anger
210,42,X factor,"Watching her perform on stage, it was obvious she had the X factor that would make her a star.",Admiration
211,42,X factor,His unique X factor has the ability to turn a dull party into a lively event.,Excitement
212,42,X factor,I was surprised to discover that the quiet girl from my class had an incredible X factor when it came to painting.,Surprise
214,42,X factor,"I can't quite put my finger on it, but there's something about his presence, an X factor, that makes people gravitate towards him.",Fascination
215,43,a bit much,Having to work overtime every night this week is a bit much.,Frustration
217,43,a bit much,The way he always helps others even when he's tired is a bit much for me.,Admiration
218,43,a bit much,Learning an entire semester's material in one night is a bit much for any student.,Anxiety
219,43,a bit much,"The surprise party they threw for me, complete with live music, was a bit much but truly unforgettable.",Gratitude
220,44,a bridge too far,Trying to run a marathon without any training was a bridge too far for John.,Frustration
221,44,a bridge too far,The idea of becoming a world-class chef in just a year seemed like a bridge too far for Emma.,Doubt
222,44,a bridge too far,"The project proposal included several good ideas, but the unrealistic deadline made it a bridge too far.",Reluctance
223,44,a bridge too far,The reporter's persistent questioning about his family life was a bridge too far for the celebrity.,Anger
224,44,a bridge too far,Winning the lottery seemed like a bridge too far for someone with so much financial struggle.,Longing
226,45,a good deal,She suddenly felt a wave of serenity when she realized she got a good deal on the tickets.,Serenity
227,45,a good deal,"He nervously purchased the car, uncertain if he had gotten a good deal.",Anxiety
228,45,a good deal,She felt a flare of envy when she learned about the good deal her friend found on the vacation package.,Envy
229,45,a good deal,"The salesman tried to convince her it was a good deal, but her nagging doubts held her back.",Doubt
230,46,a hair's breadth,He managed to avoid disaster by a hair's breadth.,Relief
231,46,a hair's breadth,I could feel my heart racing as I grabbed the ledge by a hair's breadth.,Fear
232,46,a hair's breadth,"Our team won the match by a hair's breadth, leaving everyone in the audience ecstatic.",Excitement
233,46,a hair's breadth,"She missed the train by a hair's breadth, leaving her to dwell on her unfortunate luck.",Frustration
234,46,a hair's breadth,"His promotion came down to a hair's breadth, and he couldn't believe how close the competition was.",Surprise
235,47,a life of its own,"When the rumor started spreading, it took on a life of its own and caused countless misunderstandings.",Confusion
237,47,a life of its own,"She watched in awe as the fire burned with a life of its own, consuming everything in its path.",Fear
238,47,a life of its own,"Sometimes the characters in my novel seem to have a life of their own, making decisions I never anticipated.",Fascination
239,47,a life of its own,"His career took on a life of its own, propelling him to heights he never dreamed possible.",Happiness
241,48,a notch above,"Seeing her effortlessly complete the puzzle, I couldn't deny feeling a bit of envy as her skills were clearly a notch above mine.",Envy
242,48,a notch above,"When the chef presented his dish that was a notch above everyone else's, it brought smiles to the judges' faces.",Happiness
243,48,a notch above,"Realizing her writing skills were a notch above mine, I became more determined to improve and catch up to her level.",Determination
244,48,a notch above,"When I first heard her singing voice, I was taken aback by the surprise that it was a notch above anyone else's I've ever heard.",Surprise
245,49,abandon ship,"When the project started failing miserably, the team members began to abandon ship, leaving the manager in a state of frustration.",Frustration
246,49,abandon ship,Seeing everyone abandon ship right before the deadline was a true moment of disappointment.,Sadness
247,49,abandon ship,"Learning the truth about the company's corruption, he decided it was time to abandon ship before everything went downhill.",Anxiety
249,49,abandon ship,"After securing a new job, she felt ecstatic to finally abandon ship and escape her toxic workplace.",Happiness
250,50,about time,"It's about time he finally finished the project, after all the delays and setbacks.",Frustration
251,50,about time,"When the package finally arrived, her mother exclaimed, ""It's about time!""",Relief
252,50,about time,"The moment I found my passion, I knew it was about time I pursued it.",Determination
253,50,about time,"When they finally won a game, the entire team felt it was about time for their hard work to pay off.",Happiness
254,50,about time,"Seeing the competitor's new software, the CEO sighed, ""It's about time we improved our own product.""",Anxiety
255,51,about to,She is about to bite my head off when I bring up her favorite subject.,Anger
256,51,about to,"After years of hard work, he's about to throw in the towel.",Frustration
257,51,about to,I can't believe she's about to tie the knot; it feels like just yesterday we were kids.,Surprise
258,51,about to,They were about to paint the town red when they finished their project.,Excitement
259,51,about to,I'm about to pull my hair out dealing with this ridiculous situation.,Anxiety
260,52,about turn,"She did an about turn after receiving the unexpected news, filling her heart with excitement.",Excitement
261,52,about turn,His about turn on their plans left her feeling frustrated with the sudden change of events.,Frustration
262,52,about turn,The soldier's flawless about turn on the parade ground was a source of pride for his commanding officer.,Pride
263,52,about turn,"Discovering the truth, he made an about turn, provoking a wave of shock among his friends.",Shock
264,52,about turn,Her sudden about turn in attitude made me filled with doubt about her sincerity.,Doubt
265,53,above and beyond,"She went above and beyond to help the homeless, which made her feel a deep sense of fulfillment.",Gratitude
266,53,above and beyond,His efforts in creating the perfect surprise party for his wife went above and beyond her wildest dreams.,Admiration
267,53,above and beyond,I was stunned to see that the CEO went above and beyond to make sure every employee had proper access to healthcare.,Surprise
268,53,above and beyond,"The teacher's dedication to her students, going above and beyond in all aspects of her work, brought inspiration to the entire school.",Pride
269,53,above and beyond,"Going above and beyond, he trained day and night to make sure his chances of winning the championship were high.",Determination
270,54,above and beyond the call of duty,She went above and beyond the call of duty to ensure her sick friend was taken care of.,Affection
271,54,above and beyond the call of duty,The bravery he displayed by going above and beyond the call of duty was truly surprising.,Surprise
272,54,above and beyond the call of duty,His unwavering determination led him to go above and beyond the call of duty to save his teammates.,Determination
273,54,above and beyond the call of duty,"When the teacher stayed late to tutor the struggling students, she was going above and beyond the call of duty.",Gratitude
274,54,above and beyond the call of duty,"Despite feeling exhausted, he managed to go above and beyond the call of duty, giving hope to everyone around him.",Hope
275,55,above board,"John's business dealings were always above board, and his clients appreciated his honesty.",Admiration
276,55,above board,I couldn't believe my eyes when I saw that the politician's campaign was completely above board.,Surprise
277,55,above board,I feel so much better since I started being above board with my taxes.,Relief
279,55,above board,"When they discovered the financial arrangement was above board, their worries vanished.",Happiness
280,56,above water,"After paying all my bills, I'm barely staying above water.",Anxiety
281,56,above water,"Thanks to your help, I managed to stay above water during a difficult time.",Gratitude
282,56,above water,"Ever since she started her own business, she's been thriving and staying above water easily.",Pride
283,56,above water,It feels as if I'm swimming against the tide just to stay above water these days.,Frustration
284,56,above water,"With each passing day, his new job helps him stay above water financially.",Relief
285,57,abstract idea,"When Mary finally understood the abstract idea, a sense of relief washed over her.",Relief
286,57,abstract idea,"Dave spent hours pondering the abstract idea, only to find himself lost in confusion.",Confusion
287,57,abstract idea,Sandra envied her classmates' ability to grasp the abstract idea so easily during the lecture.,Envy
288,57,abstract idea,Tim's eyes widened in fascination as he explored the possibilities of the abstract idea.,Fascination
289,57,abstract idea,"The more Jane discussed the abstract idea, the more excited she became about its potential.",Excitement
290,58,accident of birth,"Realizing she had no control over her family's wealth, she acknowledged it was merely an accident of birth.",Resentment
292,58,accident of birth,"His incredible physical abilities, an accident of birth, allowed him to outperform everyone else on the team easily.",Admiration
293,58,accident of birth,"Had it not been for the accident of birth, perhaps we could have been great friends despite our differing social statuses.",Longing
294,58,accident of birth,"Though their financial success was an accident of birth, they worked tirelessly to maintain their family's reputation.",Determination
295,59,accident waiting to happen,That rickety old bridge is an accident waiting to happen.,Anxiety
296,59,accident waiting to happen,His reckless driving makes him an accident waiting to happen.,Fear
297,59,accident waiting to happen,The neglected power lines in our neighborhood are an accident waiting to happen.,Frustration
299,59,accident waiting to happen,The way she's overloading the electrical outlets is an accident waiting to happen.,Doubt
300,60,according to,"According to our agreement, you were supposed to finish your work today, and yet you are not even half done!",Frustration
301,60,according to,Life seems to work out beautifully according to the law of attraction.,Serenity
302,60,according to,Sal's garden bloomed with flowers and fruits according to her efforts and care.,Admiration
303,60,according to,"It feels as if we're always following the same plan, even our future is laid out according to someone else's design.",Disgust
304,60,according to,"After reading the book, Rachel found herself understanding the concept according to the author's unique perspective.",Fascination
305,61,ace in the hole,He always knew that his secret talent was his ace in the hole during tough times.,Hope
306,61,ace in the hole,Discovering a forgotten stash of chocolate in the cupboard was her ace in the hole when her sweet cravings hit.,Relief
307,61,ace in the hole,"She couldn't wait to reveal her ace in the hole to win the game, leaving her opponents in awe.",Excitement
308,61,ace in the hole,Jillâs ace in the hole arrived just in time to save her from financial ruin.,Gratitude
309,61,ace in the hole,There was smug satisfaction in his eyes when he revealed his hidden ace in the hole.,Pride
310,62,ace up one's sleeve,"Tim had an ace up his sleeve when he decided to unleash his secret talent during the talent show, leaving the audience in shock.",Shock
311,62,ace up one's sleeve,"Even after all the challenges at work, Jane still managed to complete the project successfully thanks to her ace up one's sleeve, giving her a great sense of pride.",Pride
312,62,ace up one's sleeve,"The sudden turn of events was unexpected, but Mike still had an ace up his sleeve that he knew would save the situation and impress his boss.",Hope
313,62,ace up one's sleeve,I was filled with envy when I found out that Alice had a sneaky ace up her sleeve to win the competition without anyone knowing.,Envy
314,62,ace up one's sleeve,"It was frustrating not to know about Lily's hidden ace up her sleeve, especially when she played it effortlessly and won the game night.",Frustration
316,63,acquired taste,"His unusual taste in films always left her feeling slightly puzzled, but he insisted it was just an acquired taste.",Confusion
317,63,acquired taste,"They never believed Robin would come to appreciate abstract art, but it gradually became an acquired taste for her.",Admiration
318,63,acquired taste,"He was hesitant to watch the unconventional play, only to find that it was an acquired taste worth enjoying.",Pleasure
319,63,acquired taste,"Of all the strange hobbies he had, picking up insects undeniably became an acquired taste that few people could endure for long.",Disgust
320,64,across the board,"Her grades improved across the board, making her parents swell with pride.",Pride
321,64,across the board,"The company's new policy resulted in salary cuts across the board, fostering frustration among the employees.",Frustration
322,64,across the board,"The team's victory was due to excellent performances across the board, contributing to their excitement.",Excitement
323,64,across the board,Discovering flaws across the board in the research left the scientist feeling a deep sense of shame.,Shame
324,64,across the board,"The results of the survey revealed dissatisfaction across the board, eliciting a need to take action out of concern.",Determination
326,65,act of Congress,We finally managed to organize the event â it was nothing short of an act of Congress.,Relief
327,65,act of Congress,I can't believe we have to go through an act of Congress just to get this project approved.,Boredom
328,65,act of Congress,She managed to change her work schedule without needing an act of Congress.,Admiration
329,65,act of Congress,I'm so excited that we accomplished that task; it felt like an act of Congress.,Excitement
